,min_salary,max_salary,currency,name_job,link
0,,,,Программист Python (офис в ИТ-парке),https://adsrv.hh.ru/click?b=493267&c=16&place=35&meta=NtjT5Fo_Dn9mpFWXtMPWz_aYRthA8CMZrcr0YZ-zgCZePx87F_6nNIl0m5hv-0rHli0L7hf6uSP_8RH7S7MbYJ8BWzS0yg2GfkKB3kwnplJdxRW_VffnMC4DRuxKXfY-FR0Vg0DEnmBYDTutDke0OrjFQFvZNaIL25OA1P6FuW7xzAcZtBzIIfCWHGzbrVcedqmkmTVpHc3JxC9m7W0qUE784lEC3B3JANx_DCMFBVVKZfFl9KnOWXm4V8kNJtn8g1xrfSYzsNcFJ6JKG_f6CQLWy8h55kqQQhKdUnJCLI3cCZlL0uhZ9CY2i9eUk_sn9YwYGr9Hy2A76FDbVOBzo1GBAQaSDC_zYjTjM9qMCSGejL5t04IDDznSo7GspuTtcO_LtgFIXrbVbIp4vOLCncvx812TEnU_oxIALdYMEv93_Ndpt6_BDuDLx58RXu58u-L0PTb_dWJwx1g3GFLFJSIkMISFhD2s-jYk_uyp46M8ZNGPrPMrMagS4sp4g7Y3UmVAu82Uj7yg6sETiHR3zA%3D%3D&clickType=link_to_vacancy
1,,,,Python Developer (SyntData),https://hh.ru/vacancy/82956992?from=vacancy_search_list&query=python
2,45000.0,100000.0,₽,Программист Python Junior (BigData),https://hh.ru/vacancy/82524858?from=vacancy_search_list&query=python
3,50000.0,,₽,Junior Backend Developer (Python),https://hh.ru/vacancy/83050891?from=vacancy_search_list&query=python
4,400000.0,,₽,Программист Python,https://hh.ru/vacancy/83589408?from=vacancy_search_list&query=python
5,350000.0,,₽,Разработчик Python Backend,https://hh.ru/vacancy/82844590?from=vacancy_search_list&query=python
6,,200000.0,₽,Программист Python (Junior +),https://hh.ru/vacancy/83633647?from=vacancy_search_list&query=python
7,40000.0,,₽,Python-разработчик (junior),https://hh.ru/vacancy/83627963?from=vacancy_search_list&query=python
8,60000.0,,₽,Junior Программист/Разработчик Python,https://hh.ru/vacancy/82392679?from=vacancy_search_list&query=python
9,50000.0,,₽,Python-разработчик (Django),https://hh.ru/vacancy/82704622?from=vacancy_search_list&query=python
10,,420000.0,₽,Python-разработчик,https://hh.ru/vacancy/82888245?from=vacancy_search_list&query=python
11,,,,Junior Python Developer,https://hh.ru/vacancy/83548117?from=vacancy_search_list&query=python
12,,,,Intern / Junior Programmer (Python),https://hh.ru/vacancy/81481794?from=vacancy_search_list&query=python
13,,250000.0,₽,Python разработчик,https://hh.ru/vacancy/83184043?from=vacancy_search_list&query=python
14,30000.0,80000.0,₽,Разработчик Python,https://hh.ru/vacancy/80736556?from=vacancy_search_list&query=python
15,130000.0,,₽,Программист Python,https://hh.ru/vacancy/83532503?from=vacancy_search_list&query=python
